Outer_Fold,Test_Subject,Feature,Importance_Mean,Importance_Std
8,I,Left_Idle_Ratio,0.01089665329169452,0.012198672912098363
8,I,Left_Idle_Time,-0.1265685833027918,0.05903781894786284
8,I,Right_Idle_Ratio,0.42764207981995356,0.13150752489212147
8,I,Right_Idle_Time,0.20509495243063017,0.09325740518734046
8,I,Left_Mean_Acceleration,-0.004651922365386489,0.007311722002073305
8,I,Left_Median_Acceleration,0.034517833692184544,0.025402685584515982
8,I,Left_Max_Acceleration,0.024693697556878082,0.0587007843300045
8,I,Left_Acceleration_Std,-0.007888984273828647,0.014429131473003023
8,I,Right_Mean_Acceleration,-0.015281899334193483,0.012532276549036051
8,I,Right_Median_Acceleration,-0.20199806451797198,0.06628410065328061
8,I,Right_Max_Acceleration,-0.016669679758202705,0.046649026387386994
8,I,Right_Acceleration_Std,0.11104961610600889,0.0858986072002744
8,I,Left_Mean_Jerk,-0.09392931847160577,0.29342648629330725
8,I,Left_Median_Jerk,-0.030240884081401673,0.06189711913883171
8,I,Left_Max_Jerk,-0.02120165728956055,0.028790313314290494
8,I,Left_Jerk_Std,0.36388414660183027,0.21828800733807255
8,I,Right_Mean_Jerk,0.06467615778887366,0.0561109793502968
8,I,Right_Median_Jerk,0.03216832960969859,0.03787537605611292
8,I,Right_Max_Jerk,-0.004912858113664805,0.011180158289825314
8,I,Right_Jerk_Std,-0.001912196574941838,0.2906064682966924
